Id,Title
1,C#
2,Azure
3,Sql Server
4,Angular
5,Entity Framework
6,TypeScript
7,CI/CD
8,oAuth2
9,Visual Studio
10,Identity Server
11,Postman
12,SignalR
13,Material Design
14,Bootstrap
15,Figma
16,gRPC
17,Blazor
18,Geneva
19,Data Explorer
20,Synapse
21,Function Apps
22,AppInsights
23,Kusto
24,Bicep
25,Api Integrations
26,Orchard
27,Objective-C
29,WCF
30,IIS
31,".NET Framework"
32,WPF
33,Classic ASP
34,ASP.NET
35,Big Data
36,Html/CSS
37,Artificial Intelligence (AI)
38,.Net Core
39,Stripe
40,WebHooks
41,Microsoft Teams
42,Jira
43,jQuery
44,JavaScript
45,Powershell
46,Python
47,XAML
48,Java
49,C++
50,PHP
51,Swift
52,Ruby
53,C
54,Kotlin
55,R
56,Go
57,Scala
58,Perl
59,Rust
60,Dart
61,Elixir
62,Haskell
63,MySQL
64,PostgreSQL
65,MongoDB
66,Oracle Database
67,Spring
68,Django
69,Ruby on Rails
70,React
71,Vue.js
72,Laravel
73,Express.js
74,Flask
75,Symfony
76,Meteor
77,Svelte
78,Next.js
79,Gatsby
80,Play Framework
81,CodeIgniter
82,CakePHP
83,Phoenix
84,NestJS
85,Jenkins
86,Docker
87,Kubernetes
88,Ansible
89,Terraform
90,GitLab
91,Prometheus
92,Nagios
93,Puppet
94,Chef
95,Azure Devops
96,Amazon Web Services (AWS)
97,Google Cloud Platform
98,Oracle Cloud
99,IBM Cloud
100,Google APIs
101,Twitter API
102,Facebook API
103,Amazon AWS API
104,Twilio API
105,Spotify API